sku;colecao;categoria;subcategoria
02BL040300;VE11;Collection;Blusa
02BL040400;VE11;Collection;Blusa
02BL040500;VE11;Collection;Blusa
02BL040600;VE11;Collection;Blusa
02BL040700;VE11;Collection;Blusa
02BL040800;VE11;Collection;Blusa
02BL040900;VE11;Collection;Blusa
02BL041000;VE11;Collection;Blusa
02BL041100;VE11;Collection;Blusa
02BL041200;VE11;Collection;Blusa
02BL041300;VE11;Collection;Blusa
02BL041400;VE11;Collection;Blusa
02BL041500;VE11;Collection;Blusa
02BL041600;VE11;Collection;Corselet
02BL041700;VE11;Collection;Blusa
02BL041900;VE11;Collection;Blusa
02BL042000;VE11;Collection;Blusa
02BL042100;VE11;Collection;Blusa
02BL042200;VE11;Collection;Blusa
02BL042300;VE11;Collection;Blusa
02BL042400;VE11;Collection;Blusa
02BL042500;VE11;Collection;Blusa
02BL042800;VE11;Collection;Blusa
02BL042900;VE11;Collection;Blusa
02BL043000;VE11;Collection;Blusa
02BL043100;AV11;Collection;Blusa
02BL043200;VE11;Collection;Corselet
02BL043300;VE11;Collection;Blusa
02BL043400;VE11;Collection;Blusa
02BL043500;VE11;Collection;Blusa
02BL043600;VE11;Collection;Blusa
02BL043700;VE11;Collection;Blusa
02BL043800;VE11;Collection;Blusa
02BL043900;VE11;Collection;Blusa
02BL044100;VE11;Collection;Blusa
02BL044200;VE11;Collection;Blusa
02BL044300;VE11;Collection;Blusa
02BL044400;VE11;Collection;Blusa
02BL044500;VE11;Collection;Blusa
02BL044600;VE11;Collection;Corselet
02BL044700;VE11;Collection;Blusa
02BL044800;VE11;Collection;Blusa
02BL044900;AV11;Collection;Blusa
02BL045000;VE11;Collection;Blusa
02BL045100;VE11;Collection;Regata
02BL045200;VE11;Collection;Blusa
02BL045300;VE11;Collection;Blusa
02BL045500;VE11;Collection;Blusa
02BL045600;AV11;Collection;Blusa
02BL045700;AV11;Collection;Blusa
02BL045800;AV11;Collection;Blusa
02BL045900;AV11;Collection;Blusa
02BL046000;AV11;Collection;Blusa
02BL046100;AV11;Collection;Blusa
02BL046200;AV11;Collection;Blusa
02BL046300;AV11;Collection;Blusa
02BL046400;AV11;Collection;Blusa
02BL046500;AV11;Collection;Blusa
02BL046600;AV11;Collection;Blusa
02BL046700;AV11;Collection;Blusa
02BL046800;AV11;Collection;Blusa
02BL046900;AV11;Collection;Blusa
02BL047000;AV11;Collection;Blusa
02BL047100;AV11;Collection;Blusa
02BL047200;AV11;Collection;Blusa
02BL047300;AV11;Collection;Blusa
